Wall time,Step,Value
1567270207.4886422,0,0.36777257919311523
1567270520.1540167,1,0.2923576235771179
1567270828.0753307,2,0.2834961414337158
1567271130.844523,3,0.27619242668151855
1567271434.93833,4,0.2684452533721924
1567271740.6924148,5,0.264657586812973
1567272044.8907003,6,0.2575205862522125
1567272349.6743333,7,0.2541085481643677
1567272653.9214654,8,0.24613311886787415
1567272957.2390823,9,0.23972250521183014
1567273261.3982863,10,0.2343227118253708
1567273563.6693735,11,0.22873646020889282
1567273866.8929393,12,0.22559599578380585
1567274171.1504812,13,0.21973049640655518
1567274475.8718283,14,0.21703507006168365
1567274779.465258,15,0.21375156939029694
1567275082.5757596,16,0.21083566546440125
1567275386.820732,17,0.2073170393705368
1567275690.4192884,18,0.20646749436855316
1567275994.4932606,19,0.20270362496376038
1567276731.1693213,20,0.20133784413337708
1567277039.267835,21,0.20015867054462433
1567277343.1601374,22,0.1977548748254776
1567277647.735522,23,0.1963128298521042
1567277953.676682,24,0.19294467568397522
1567278258.2492201,25,0.19343502819538116
1567278562.3742468,26,0.19079215824604034
1567278867.2830925,27,0.18971459567546844
1567279170.6585793,28,0.18732355535030365
1567279486.7942681,29,0.18801359832286835
1567279805.2973542,30,0.18658283352851868
1567280124.2169807,31,0.1853485107421875
1567280437.604034,32,0.1847957968711853
1567280759.5059826,33,0.1830676943063736
1567281066.3345578,34,0.18275859951972961
1567281374.1061962,35,0.18243886530399323
1567281681.706364,36,0.1824706494808197
1567281988.6571343,37,0.18090130388736725
1567282296.270742,38,0.1827714443206787
1567283037.2889998,39,0.18176470696926117
