Wall time,Step,Value
1567270207.4865193,0,1.7082653045654297
1567270520.1536388,1,1.405139684677124
1567270828.074684,2,1.2946271896362305
1567271130.844087,3,1.207571268081665
1567271434.9379144,4,1.138154149055481
1567271740.6920216,5,1.0933303833007812
1567272044.8902586,6,1.0050331354141235
1567272349.6740432,7,0.9435407519340515
1567272653.9210465,8,0.8507493734359741
1567272957.2388835,9,0.797372579574585
1567273261.3978724,10,0.72835373878479
1567273563.6689637,11,0.6591895222663879
1567273866.8927307,12,0.6115089654922485
1567274171.15019,13,0.5643965005874634
1567274475.8712401,14,0.5173844695091248
1567274779.4649441,15,0.4694916903972626
1567275082.5755324,16,0.4331139922142029
1567275386.8203056,17,0.39688965678215027
1567275690.4189582,18,0.36015671491622925
1567275994.4930258,19,0.3409936726093292
1567276731.168914,20,0.30548202991485596
1567277039.2674994,21,0.28441399335861206
1567277343.1598465,22,0.2647988796234131
1567277647.7353008,23,0.24494007229804993
1567277953.6763077,24,0.23035962879657745
1567278258.2488987,25,0.2179994136095047
1567278562.3738513,26,0.19735482335090637
1567278867.282757,27,0.1909155547618866
1567279170.6581848,28,0.1754198670387268
1567279486.7938774,29,0.17125771939754486
1567279805.2969742,30,0.1670057624578476
1567280124.216573,31,0.1501997411251068
1567280437.6037729,32,0.14942491054534912
1567280759.5055258,33,0.14753885567188263
1567281066.334346,34,0.13727176189422607
1567281374.1059618,35,0.13394176959991455
1567281681.7061043,36,0.1333359181880951
1567281988.6565762,37,0.12834662199020386
1567282296.2701423,38,0.12747551500797272
1567283037.2886305,39,0.12425801157951355
