Wall time,Step,Value
1567270207.4875102,0,2.4186463356018066
1567270520.153832,1,2.1279890537261963
1567270828.0750098,2,2.0478782653808594
1567271130.844335,3,1.9738675355911255
1567271434.9381251,4,1.9225566387176514
1567271740.6922379,5,1.8718414306640625
1567272044.8904831,6,1.82177734375
1567272349.6741931,7,1.749416708946228
1567272653.9212022,8,1.6682158708572388
1567272957.2389858,9,1.6009609699249268
1567273261.3980925,10,1.5427807569503784
1567273563.669173,11,1.4892739057540894
1567273866.8928366,12,1.4469467401504517
1567274171.1503396,13,1.4015731811523438
1567274475.871538,14,1.366233229637146
1567274779.4651172,15,1.3344712257385254
1567275082.5756493,16,1.2954630851745605
1567275386.8205247,17,1.2747944593429565
1567275690.4191291,18,1.2490003108978271
1567275994.4931374,19,1.2147527933120728
1567276731.169122,20,1.189941167831421
1567277039.2676718,21,1.1683560609817505
1567277343.1599972,22,1.1532540321350098
1567277647.735412,23,1.140028476715088
1567277953.6765022,24,1.1207410097122192
1567278258.249064,25,1.1002920866012573
1567278562.374057,26,1.0789039134979248
1567278867.2829292,27,1.0685490369796753
1567279170.6583874,28,1.056167483329773
1567279486.794078,29,1.0412691831588745
1567279805.2971697,30,1.0294554233551025
1567280124.2167768,31,1.0151914358139038
1567280437.603907,32,1.012918472290039
1567280759.5057592,33,0.9993358850479126
1567281066.3344553,34,0.9896210432052612
1567281374.1060822,35,0.9867939949035645
1567281681.7062392,36,0.9774681329727173
1567281988.6569197,37,0.9776771664619446
1567282296.2704527,38,0.9722829461097717
1567283037.2888174,39,0.9678019881248474
