Wall time,Step,Value
1567424204.159048,0,3.9937901496887207
1567424457.159535,1,3.5043294429779053
1567424704.9378185,2,3.1974711418151855
1567424953.5445209,3,2.932281732559204
1567425200.178617,4,2.6629302501678467
1567425447.044824,5,2.5259838104248047
1567425693.3998418,6,2.380037307739258
1567425940.45389,7,2.2282989025115967
1567426188.0856445,8,2.1057441234588623
1567426435.4455824,9,1.971935510635376
1567426683.1142669,10,1.8390949964523315
1567426931.3932066,11,1.7468191385269165
1567427179.1294508,12,1.670240879058838
1567427426.7342906,13,1.5853508710861206
1567427674.4697542,14,1.5181591510772705
1567427922.2493072,15,1.4474462270736694
1567428169.6539776,16,1.4010112285614014
1567428416.3892894,17,1.3428024053573608
1567428663.32403,18,1.299612283706665
1567428910.4404204,19,1.2673672437667847
1567429613.6112485,20,1.2314265966415405
1567429864.4501176,21,1.1844136714935303
1567430111.8213148,22,1.1534780263900757
1567430358.8733027,23,1.1319589614868164
1567430607.4672198,24,1.098572850227356
1567430854.1794505,25,1.0677324533462524
1567431101.6869345,26,1.0456336736679077
1567431350.4768178,27,1.031164288520813
1567431598.1354651,28,1.0148570537567139
1567431844.8601134,29,1.0023690462112427
1567432092.2630236,30,0.9909785389900208
1567432338.5816963,31,0.9773949980735779
1567432584.570519,32,0.9682112336158752
1567432831.8719335,33,0.9492791891098022
1567433079.103251,34,0.9481092095375061
1567433326.7262356,35,0.9350734949111938
1567433573.7715113,36,0.9282270669937134
1567433822.403611,37,0.9329298138618469
1567434069.6107469,38,0.9199016690254211
1567434789.8862991,39,0.9197507500648499
