Wall time,Step,Value
1567358547.3104408,0,1.604967713356018
1567358802.4426968,1,1.434491515159607
1567359054.9213963,2,1.3885180950164795
1567359307.704067,3,1.368874430656433
1567359559.779832,4,1.3486058712005615
1567359812.3131628,5,1.3248982429504395
1567360064.723328,6,1.2999372482299805
1567360317.8091624,7,1.260379672050476
1567360569.5607326,8,1.2181651592254639
1567360822.0933912,9,1.1777559518814087
1567361074.123984,10,1.1331416368484497
1567361326.629556,11,1.0901498794555664
1567361578.4454503,12,1.0486547946929932
1567361829.7905574,13,0.9881671071052551
1567362081.428753,14,0.9159382581710815
1567362333.7749577,15,0.8630734086036682
1567362585.8344362,16,0.8050064444541931
1567362837.3990595,17,0.7473957538604736
1567363089.6176307,18,0.7025720477104187
1567363342.0361822,19,0.6676784753799438
1567364051.5380447,20,0.6185203790664673
1567364306.662632,21,0.5813407301902771
1567364558.3725665,22,0.5280939340591431
1567364810.095692,23,0.5048084259033203
1567365061.624914,24,0.4637916386127472
1567365313.8763607,25,0.4298686981201172
1567365565.6061382,26,0.4088982343673706
1567365819.1968346,27,0.3860718905925751
1567366072.0608382,28,0.3495429754257202
1567366324.0845132,29,0.3362196385860443
1567366575.8733737,30,0.30471494793891907
1567366828.3827198,31,0.29442939162254333
1567367080.4278908,32,0.2748536169528961
1567367332.185168,33,0.2614395320415497
1567367584.5624235,34,0.24430224299430847
1567367836.3528936,35,0.23258522152900696
1567368089.3656497,36,0.22292666137218475
1567368340.902012,37,0.20899948477745056
1567368593.8713658,38,0.21079277992248535
1567369308.6612072,39,0.20965969562530518
