Wall time,Step,Value
1567358547.311965,0,2.283494234085083
1567358802.4428568,1,2.107224702835083
1567359054.9215612,2,2.076695203781128
1567359307.7041748,3,2.0560054779052734
1567359559.7800033,4,2.0331852436065674
1567359812.3133104,5,1.9825258255004883
1567360064.723429,6,1.9378714561462402
1567360317.8093479,7,1.892790675163269
1567360569.5608788,8,1.8572320938110352
1567360822.0935054,9,1.8178967237472534
1567361074.124144,10,1.7750837802886963
1567361326.629702,11,1.7159391641616821
1567361578.4456048,12,1.6234157085418701
1567361829.7908587,13,1.5402710437774658
1567362081.4291162,14,1.46224045753479
1567362333.775066,15,1.4119361639022827
1567362585.8346243,16,1.3716042041778564
1567362837.3992019,17,1.3341740369796753
1567363089.6178255,18,1.2907426357269287
1567363342.0363686,19,1.2712668180465698
1567364051.5382383,20,1.2327948808670044
1567364306.662776,21,1.207176685333252
1567364558.3726983,22,1.1801412105560303
1567364810.09585,23,1.1564958095550537
1567365061.625032,24,1.1357163190841675
1567365313.8764665,25,1.105611801147461
1567365565.606299,26,1.0831639766693115
1567365819.196998,27,1.0783932209014893
1567366072.0610502,28,1.0486093759536743
1567366324.084672,29,1.0503114461898804
1567366575.873488,30,1.0244206190109253
1567366828.3828301,31,1.0158380270004272
1567367080.4280865,32,1.0049965381622314
1567367332.185451,33,0.9981245398521423
1567367584.5627155,34,0.9822202324867249
1567367836.3531063,35,0.9826215505599976
1567368089.3657563,36,0.9735605716705322
1567368340.9021645,37,0.9627763032913208
1567368593.8715749,38,0.9633511900901794
1567369308.6613204,39,0.9616906046867371
