Wall time,Step,Value
1567344503.004283,0,1.767052173614502
1567344786.81397,1,1.4068498611450195
1567345068.6305292,2,1.2521575689315796
1567345350.482072,3,1.1245043277740479
1567345631.9873662,4,1.01822829246521
1567345914.1128085,5,0.9090849161148071
1567346196.455948,6,0.8245748281478882
1567346477.5303183,7,0.7412723302841187
1567346759.4734726,8,0.6508759260177612
1567347040.8183658,9,0.5931748747825623
1567347321.7605145,10,0.5231500864028931
1567347603.830517,11,0.4606795608997345
1567347884.8232486,12,0.4162977337837219
1567348167.549053,13,0.3718591034412384
1567348450.3204396,14,0.3425655663013458
1567348732.3445356,15,0.29440292716026306
1567349015.1352048,16,0.2650727331638336
1567349297.3472548,17,0.24808050692081451
1567349579.155449,18,0.22052313387393951
1567349860.9542775,19,0.20058873295783997
1567350608.4276092,20,0.19231796264648438
1567350894.2034616,21,0.17735756933689117
1567351175.3932357,22,0.16690930724143982
1567351457.210641,23,0.15330426394939423
1567351739.6540086,24,0.14888012409210205
1567352022.473195,25,0.1429637372493744
1567352304.5913644,26,0.13643497228622437
1567352585.9762905,27,0.12951628863811493
1567352867.8574123,28,0.12001471221446991
1567353149.5249188,29,0.11734974384307861
1567353432.3297136,30,0.11222092807292938
1567353716.403861,31,0.10855469852685928
1567353998.8804371,32,0.10720368474721909
1567354280.4243279,33,0.10301687568426132
1567354561.9776192,34,0.10286116600036621
1567354844.0362475,35,0.10015720129013062
1567355126.2775402,36,0.0948258489370346
1567355408.6463182,37,0.09713630378246307
1567355690.8883126,38,0.09737007319927216
1567356448.285456,39,0.0983334481716156
