Wall time,Step,Value
1567344503.00517,0,2.547593832015991
1567344786.814112,1,2.260594606399536
1567345068.6306748,2,2.1472434997558594
1567345350.4823377,3,2.0268733501434326
1567345631.987529,4,1.9120744466781616
1567345914.112993,5,1.7965013980865479
1567346196.4561417,6,1.706833004951477
1567346477.5305643,7,1.6353176832199097
1567346759.4735787,8,1.5689351558685303
1567347040.818583,9,1.5308641195297241
1567347321.7606995,10,1.4728480577468872
1567347603.8307045,11,1.4262702465057373
1567347884.8234382,12,1.3803573846817017
1567348167.549197,13,1.3408656120300293
1567348450.3205814,14,1.3143514394760132
1567348732.3447368,15,1.2795929908752441
1567349015.135403,16,1.2524363994598389
1567349297.347437,17,1.2256299257278442
1567349579.1555922,18,1.1920398473739624
1567349860.9544387,19,1.17131769657135
1567350608.4278095,20,1.1451020240783691
1567350894.2035728,21,1.1247791051864624
1567351175.3934302,22,1.0996042490005493
1567351457.2108133,23,1.087319254875183
1567351739.654218,24,1.0738977193832397
1567352022.473301,25,1.0573104619979858
1567352304.5915234,26,1.0494953393936157
1567352585.9764216,27,1.0432093143463135
1567352867.8576124,28,1.0205055475234985
1567353149.5252016,29,1.0114659070968628
1567353432.329902,30,0.9917848706245422
1567353716.4041672,31,0.9969826340675354
1567353998.880551,32,0.9848660826683044
1567354280.4245214,33,0.97677081823349
1567354561.9777632,34,0.9722330570220947
1567354844.0363944,35,0.9685938954353333
1567355126.2777867,36,0.9581671357154846
1567355408.6465008,37,0.9567821025848389
1567355690.8884888,38,0.9580468535423279
1567356448.2856069,39,0.953918993473053
